date,title, body, key insights, type, canvas tag, hypotheses feedback
2015-04-07,Social media,,,Business Model Hypothesis,Customer Relationships,
2015-04-07,Salaries for Employees,,,Business Model Hypothesis,Cost Structure,
2015-04-07,"Level based membership fees for stylists & buyers ... i.e charge for certain features line sheet access, manage appointment, basic analytics and trend forecasting",,,Business Model Hypothesis,Revenue Streams,
2015-04-07,"Fashion Buyers - Stores, Boutiques, Other",,,Business Model Hypothesis,Key Partners,
2015-04-07,"Amazon Web Services, Other subscription based IT tools(Heroku addons like Postgresdb, Cloudinary, SSL certs, Domain hosting)",,,Business Model Hypothesis,Cost Structure,
2015-04-07,Kent State University,,,Business Model Hypothesis,Key Partners,
2015-04-07,Social media,,,Business Model Hypothesis,Channels,
2015-04-07,Thimble webapp,,,Business Model Hypothesis,Channels,
2015-04-07,HR Consultants specialized in Fashion Placements,,,Business Model Hypothesis,Key Partners,
2015-04-07,HR Depts. in Fashion Industry,,,Business Model Hypothesis,Key Partners,
2015-04-07,FIT New York,,,Business Model Hypothesis,Key Partners,
2015-04-07,Parsons,,,Business Model Hypothesis,Key Partners,
2015-04-07,Columbia College Chicago,,,Business Model Hypothesis,Key Partners,
2015-04-07,School of Art Institute,,,Business Model Hypothesis,Key Partners,
2015-04-03,Video Chat with Swathy Prithvi,"- Having the ability to sell is the ultimate goal of the website - so make it easy to reach out and buy if people are interested - just exposure does not  have enough meat to attract users back- Council of fashion desingers of America(CFDA) partners with Vogue and runs a competition every year - check them out and see how they do it- Target end consumers(in our case fashion desingers) to build content and then go to Stylists- Position interviews as student project when talking to publications or else they will look at you though the business value lens- We should get more design portfolios to get a foot in the door- Focus on Local designer base and schools as it is more accessible to get more portfolios on your website - 300 to 500 designers is a good target and will get you into boardrooms- Content creation and strategy is very important and Clayton can be the Editor in Chief as he has the most skill on that segment, but everybody on the team should be creating content and constantly looking and thinking of opportunities on how to do it- Remember social media is a distribution channel and amplifier and is never a replacement for content- nastygal.com has a cool feature where people can buy through instagram- Growth hacking idea - photography - hire a photographer and models - portfolio day - take professional shots - might involve some $$ but worth it- Target community colleges and lesser rated fashion schools first so that you can refine the pitch. Get out of the room and try to reach out to them in person.","focus on easily accessible targets(local, novice) to scale up customer acquisition faster",Mentor Engagement,,Independent fashion designers can tell stories about their creation to create a context and connect to a community
2015-04-07,"Email with Josie Hutch, Fashion Merchandising Student, Kent State University","Josie doesn't think designers are worried for their inspiration to be ""ripped off, though there is the possibility that the physical garment might be worth worrying about. From what she knows, designers showcase their inspiration. Then after the garment is developed, the inspiration adds to the story and creates almost a piece of art in itself.","Josie agreed with Sarah that if we showcase the inspiration piece after or alongside the final product, then we can circumvent the secrecy problem.",Customer Interview,Customer Relationships,Independent fashion designers can tell stories about their creation to create a context and connect to a community
2015-04-07,"Email with Luke Zhang, Independent Fashion Shopper, N/A","Luke is not concerned with how a piece of clothing comes to be, only what it is. He doesn't think that I would take the time to read about a specific piece of clothing, unless it was an extenuating circumstance, like if he was attending a trunk show or the designer was present to sell him that piece of clothing. He said he'd love to talk to a designer, the person who made my clothes – there's definitely a class of people with a certain socioeconomic background who can afford the time and money to take the time to understand the piece of clothing and designer, and then purchase the items altogether. We should shoot higher.Buying online comes with problems. Trial and error can only work for so long, but if you can limit the statistical error between buying an item of clothing and finding out that it doesn't fit, that's attractive to consumers. If we could store consumer measurements, that'd be helpful as well.","Luke said a design story is impersonal, but that he would enjoy the opportunity to actually communicate with a designer to learn about a piece's background.",Customer Interview,Value Propositions,Independent fashion designers can tell stories about their creation to create a context and connect to a community
2015-04-06,"In Person Meeting with Dhruv Parikh, Customer Interview, Northwestern Student","Will never shop online because it is too risky for him in terms of fit and body structure. That being said, if opening a way of communication with a designer can facilitate a process that can address the issue of fit he would be interested. Price is major component to his decision though.",,Customer Interview,,Discerning fashion consumers looking for independent fashion
2015-02-27,"In Person Meeting with Abigail Lippi, Stylist, Independent","What does context mean? Need cues...  / Add entry, not intuitive.  Can other people see what was bought and show how they use it and make a social network/ picture compression is bothering / any other inputs or information on the page/ if you really believe in your design no issues with sharing/ a platform to challenge designs/ talentell website/ Found all designers by word of mouth. Have an identifier so people know its thimble later. Focus a lot more on aesthetics. Consider featuring designers who are doing good using the platform./ files archive of fashion images. Fashion shows/  inventory of designers categorizing by location, aesthetics, type/ Retrospective by designers Antwerp museum. / One of a kind pieces should be considered for tracking evolution/ Likes that it specialized for fashion designer/ Kick starter section within thimble/ upload sketches to thimble and raise money for production/ Instagram requires you to just visit the page and they see you.",Stylists are looking out for promising fashion designers. No problem with sharing story. Aesthetics of the platform is key.,Customer Interview,,Discerning fashion consumers looking for independent fashion; Discerning Fashion consumers want to understand the story behind a fashion item to feel connected to a designer
2015-04-07,"In Person Meeting with Rohan Agarwal, Customer Interview, Northwestern Student",He is a novice fashion enthusiast and is slowly trying to move his way into boutique fashion from big fashion brands. Although having a more tangible relationshiop or understanding of the designer's work would be interesting he doesnt see that justifying really high prices for him personally. ,,Customer Interview,,Independent fashion designers can tell stories about their creation to create a context and connect to a community
2015-02-26,"Phone Call with Nathan Laffin, VP Brand Trend Design Women’s, JC Penny","Styles are temporary, so always go for macro trends to leap frog seasonalities and other transient trends. Focusing on a single piece to write a story might be too time consuming and temporal. Exposing the process - like an open kitchen concept sounds interesting. Virality is key and it depends on the market channel. Celebrity endorsements are the key to virality nowadays. The ""young"" market you are targeting seems like it is small in size, more expensive(25-33), and edgier in style. The classifications of style in this group can be seen as cheap, highend and loft(sewing myself, cool jacket etc). Fashion trends are forecasted using third party trend forecasting services, buying offices, internal teams. Different markets have different types of trend curves(peak, pre-peak, post-peak). Fashion is a very bi-polar industry with peanuts and elephants. Belk and Dillards come in the lower end of fashion, Intermix in the middle, and Bloomingdales and Barneys at the high end. Focusing on Sustainability is a great idea, but in stores people dont pay more for it. Understand the designer psychology - usually they have the ""prophet on the mountain"" mindset. Many in the industry are concerned about others copying their designs and ideas. So there is a tendency amongst designers which makes them reticent in sharing anything with each other. So trend carefully when you start working on an idea which brings their design story to the forefront.","Identifying the target market is key to talk anything about fashion. Secrecy amongst fashion designers is real and needs to be checked before launching. Sustainability is an interesting concept, but doesnt make money.",Customer Interview,,Fashion Brands looking for talent to join their team(Chanel, Louis Vitton, Vera Wang, Alexander McQueen)
2015-04-06,"In Person Meeting with Delia Privitera, Customer Interview, Northwestern Student","Back story matters to her. This is because she herself is a fashion enthusiast and not just an ordinary customer. However, it is not very often that she purchases pieces where she invests time and interest into understanding the back story. So overall, she may not be a consistent customer even if she appreciates the designer's story.&nbsp;",,Customer Interview,,Independent fashion designers can tell stories about their creation to create a context and connect to a community; Discerning Fashion consumers want to understand the story behind a fashion item to feel connected to a designer
2015-04-06,"Email with Patrick Kellycooper, Independent Fashion Shopper, N/A","Patrick likes&nbsp;being able to have a story associated with all my clothing. He said whenever&nbsp;people compliment his Raiz Mentality hat (a Little Rock, AR-based designer), he gets to show them his brand and tell them about his home of Little Rock. The story provides a personal connection. Patrick's also willing to buy online because he doesn't care about having the perfect size – he's&nbsp;really looking for deals most of the time. He actually spends a lot of time thrifting and going online, but not a lot of time buying new things from stores.","The story behind the pieces really matters to Patrick, and he doesn't actually mind buying clothes online because he doesn't need the size to be perfect. There may be a slight gender split in this preference, but still a hypothesis at this point.",Customer Interview,,Independent fashion designers can tell stories about their creation to create a context and connect to a community
2015-04-06,"Email with Molly Benedict, Indie Fashion Shopper, N/","Molly&nbsp;browses clothes online a lot, but is really hesitant to buy things online. If there's a way for her to go out and see it in person or try it on she always does that instead. Molly likes&nbsp;having pieces that she knows something about or have a story behind them, because often someone will ask her about it. It's better if there's a cool story behind it or if it's ethically made or purchasing it benefited something else. But that has to be balance with style, price and availability.&nbsp;Times she's tempted to buy online are when she can communicate with the person who's making it. Doing things like sending my measurements or being able to ask questions or make specific requests makes the whole process easier.","Molly said she's usually not thrilled about shopping online, but she'd be more likely to buy online if she was able to communicate with the designer in some way before purchasing – send measurements, learn about the piece's background, how it's made, etc.",Customer Interview,,Discerning Fashion consumers want to understand the story behind a fashion item to feel connected to a designer
2015-04-06,"Email with Sarah Kauffman, Fashion Designer, Kent State University","Sarah said process is somewhat personal, but it varies from designer to designer. But she has seen several examples of people's croquis (live models) books or inspiration books online before. She would be more ok with first drafts of clothing being shared than inspiration probably. But she said if the designer published the inspiration/background after the final piece, that would be a solution to the secrecy problem.&nbsp;All the same, she said no one designer will interpret a theme in the same way. When you put your work out there at any point, beginning or end, you are sharing your opinions and creativity. She said ""you don't get your name out there by hiding your products in a closet."" She also said she'd be willing to dedicate up to two hours to ""tell the story"" behind a design.","Sarah was willing to dedicate up to two hours to tell the story behind a design, though hopefully we'd make it simpler than that. She also said we could resolve the secrecy issue by allowing designers to publish the backstory of a design AFTER the final product.",Customer Interview,Customer Segments,Independent fashion designers can tell stories about their creation to create a context and connect to a community
2015-03-31,Thimble Presentation 03/31/2015,,,Team Presentation,,
2015-03-16,Discerning Fashion consumers want to understand the story behind a fashion item to feel connected to a designer,,,Business Model Hypothesis,Value Propositions,
2015-03-16,Independent fashion designers can tell stories about their creation to create a context and connect to a community,,,Business Model Hypothesis,Value Propositions,
2015-03-03,Thimble Presentation 03/03/2015,,,Team Presentation,,
2015-02-26,"Email with Marisa Choate, Fashion Designer, SAIC","Marisa said she uses many forms of social media, including Twitter, tumblr, Instagram, Pinterest, Facebook and behance and she consumes a lot of fashion news. Marisa also said she does post photos of her work-in-progress on Instagram and Facebook mostly. But sometimes she worries that posting too many photos in process will ruin peoples reactions to the final work.","Upon a second interview with Marisa (and a prototype test), we learned that our form for creating chapter entries within the design needs to be more intuitive and cleaner. These designers care about the look of the platform as much as the functionality, so we need to focus on cleaning up the front-end as we move forward.",Customer Interview,Customer Relationships,Aspiring independent fashion designers
2015-02-23,"Phone Call with Kathryn Wolf, Customer Insight and Analytics Intern, Anthropologie","Anthropologie was mainly interested in migration models, like customer&nbsp;behavior&nbsp;online, cart abandonment, sales/deals conversion, etc. As far as Kathryn knows, Anthropology&nbsp;is not using data analytics to identify trends in the market and create design changes in its next season's line. Kathryn felt there is a big potential in this idea and will be more interested in seeing this evolve. She recommended talking to MSIA professors whom she knows are working on similar projects and might have deeper insights into.&nbsp;",Big brand retailers like Anthropologie has not started using data analytics in identifying fashion trends yet. Business decisions are made more based on marketing analytics and migration models,Customer Interview,,Brand names are always on the lookout for the next big thing in fashion.
2015-02-23,"Phone Call with Greg Cox, Founder, youlookfab.com","Quality is questionable for emerging fashion designers. Greg had an experience in the past when he worked with Refinery29 to write reviews about emerging designer pieces and found that most of them are sub par and ultimately backed out of the project. He found the context discovery ideas interesting as he Karen Kane worked on a similar project when they were rebranding themselves which was very successful. Greg sent the&nbsp;link for us to refer. Greg said that his main question is to regarding the&nbsp;size of the market and to make sure it is big enough to make sense to target it. He also mentioned that designers will think whether they are&nbsp;putting all eggs in a basket by moving to Thimble and we will need to have a good reason why they might not want to stick to more well established platforms like facebook, instagram etc. Discussed about small scale intricate design local manufacturing and Greg mentioned that eventhough apparel manufacturing is coming back to US, there has been an&nbsp;atrophy of skills and therefore a gap, inspite of all the&nbsp;automation&nbsp;in place. China, India still are very much center for apparel manufacturing and there are&nbsp;lots of places there with quality output capabilities.The biggest challenge here is economies of scale. He also said the if we position Thimble as the next step on their careerpath, it might be really attractive to a lot of students, as this is a huge problem in design schools.","Quality is questionable for emerging fashion designers
People maybe weary to put  all eggs in a basket instead of using already established brands
Designers might find it very useful if Thimble can be the next step in the career path, as it is very difficult to break it into the industry",Customer Interview,,Designers lack market visibility and could use a platform that gives them that.; Users want a way to see items coming from independent fashion designers without the hassle of having to search for these designers.
2015-02-18,"Phone Call with Sinsee Leung, Fashion Design Student - SAIC, School of the Art Institute of Chicago",Interview went very well. Sinsee brought an entirely different spin on the entire idea we currently have.&nbsp;,"-Aspiring designers need access to the fashion industry by tapping into professional networks (linkedin for fashion????)
- How does what you design/make in school trade up to industry demands and standards? Furthermore, how does one even know what those demands and standards are, and once you do know how do ensure you are working towards them? Can Thimble take care of that?
- This goes into the point of how can one balance their portfolio to ensure both creativity and industry demands come across",Customer Interview,,Aspiring independent fashion designers; Designers lack market visibility and could use a platform that gives them that.
2015-02-16,"Phone Call with Toria Peterson, Fashion Design Student - SAIC, School of the Art Institute of Chicago",Thimble makes sense forWearable fashion more so than fashion sculpturemore for designers who want to be self starters more so than for those who want to work for someone else&nbsp;,"Gaining visibility takes place in galleries so perhaps there is an opportunity for online galleries. 
Designers dont have the resources in terms of time, finances to develop good online websites/portfolios",Customer Interview,,Aspiring independent fashion designers; Designers lack market visibility and could use a platform that gives them that.
2015-02-16,"Phone Call with Udit Toshniwal, Fashion Design Student - SAIC, School of the Art Institute of Chicago","Some key points made during the interview includehard to find placements, jobs, clients if youre not in NYC, Milan, Paris, London and Tokyo so something to look at is plugging designers into that worldCostly to create a collectionLabour is massive cost that is often overlookedCrowd funding is a way to give customers incentive to be a part of the community&nbsp;",A white shirt from fruit of the loom is identical to a white shirt from Calvin Klein. If Thimble can do to Aspiring designers what CK does to its white shirt then we've hit a jack pot.,Customer Interview,,Aspiring independent fashion designers; Designers lack market visibility and could use a platform that gives them that.
2015-02-15,"Email with Leo Li, Fashion Designer, Student",Leo is a Fashion design student in New Zealand. Works on a per order basis. Social media is great and all ... but he doesn't seem to put the time into it. Etsy is not the type of platform he would want his brand to be associated with.&nbsp;,"You need to curate the designers on the platform. Designers do not want to align themselves with a platform that they don't feel fits their style. 
Two biggest issues: Exposure and Manufacturing/Production",Customer Interview,Value Propositions,Aspiring independent fashion designers; Designers lack market visibility and could use a platform that gives them that.
2015-02-13,"Phone Call with Whitney Gao, Organizer, Identity Fashion Show, Harvard University","Said she had to comb the internet to find independent designers for her fashion show, which backs up our hypothesis that designers are decentralized. There's no one independent design community concentrated online at this time. That people are interested in networking goes without saying.","Lots of designers would be interested in collaboration, she said. Also, she advised us to consider popularity systems even if not in 'contest' form. If there was another way of expressing that, perhaps more subtly, that could be powerful – competition creates an incentive to participate.",Customer Interview,Customer Relationships,Designers lack market visibility and could use a platform that gives them that.
2015-02-10,Thimble Presentation 02/10/2015,https://drive.google.com/folderview?id=0BxDgcAjC_MXTfkJkX09tSC1RaWpkZVpyQXFHc3BoVV9kdGRfODU0Yy1Xbk9BTEFXTjRqM00&usp=sharing,,Team Presentation,,
2015-02-08,"Phone Call with Juhi Shah, Fashion Design Student, School of the Art Institute of Chicago",Some interesting insights. Photo quality is something we may have neglected and seems to be very very important.&nbsp;,"Some key issues that she has as an aspiring designer
- Getting an investment primarily to put together a collection 
-Includes photography and manufacturing of clothes
- Collaboration is a big plus 
- Attention does not turn into customer so that is a concern 
Apprehensions about Thimble
-Creating a portfolio of designs is expensive because one cannot just take pictures with a phone and upload them",Customer Interview,,Aspiring independent fashion designers; Designers lack market visibility and could use a platform that gives them that.
2015-02-08,"In Person Meeting with Devashish Singal, Consumer, Northwestern Student",Did not seem very thrilled. Creating legitimate incentives is the key to win over such a consumer.&nbsp;Possible incentives are promotions and schemes. Additionally gamification would need to span more than just a voting contest.&nbsp;,"-Purchasing is fueled by fit and style more so than price or brand name 
-Online shopping only makes sense if the unknown items are standardized  to some well known brand scale",Customer Interview,,Discerning fashion consumers looking for independent fashion
2015-02-08,"In Person Meeting with Srishti Bhattacharya, Consumer, Northwestern Student",Idea of human interaction and human touch resurfaced a lot during this meeting,"- Apprehensive about designers not being established
- How different are design sketches and mock ups from final products?
-Ensuring a guarantee of purchase is a big plus
- Incentivised by promotions within the site
- Would be motivated by ability and opportunity to work with a winning designer to bring about a human touch 
- Wants to feel like designer is invested in them",Customer Interview,,Discerning fashion consumers looking for independent fashion; Users want a way to see items coming from independent fashion designers without the hassle of having to search for these designers.
2015-02-05,"In Person Meeting with Marisa Choate, Fashion Designer, School of the Art Institute of Chicago",Production is also a fabric and item-dependent problem.,"PAPER PROTOTYPE : Mostly makes one of a kind, it would take more funding to do more production. She could do up to 50 on short order, resources allowing.",Customer Interview,,Designers lack market visibility and could use a platform that gives them that.
2015-02-05,"In Person Meeting with Herion, Fashion Dress Designer, Herion",Mostly focused on the importance of understanding clientele. She has a small and intimate user base.,"Wants to reach out to know customers personally. Interested in why an out-of-market person would be interested in her product. Takes a long time to teach someone else technique of making clothes, so she can't meet quick/mass demand.",Customer Interview,,Users want a way to see items coming from independent fashion designers without the hassle of having to search for these designers.
2015-02-05,"In Person Meeting with Kendel Woods, Fashion Design Grad Student, School of the Art Institute of Chicago","We talked about the challenges designers face in getting people to notice their work. They don't know who to turn to, how to get things made fast/cheap. We talked about the conflict of selling trendy items vs passion projects.","PAPER PROTOTYPE : Most people wouldn't want ghost design, they want their name on it no matter what (despite monetary considerations).
Wants to know how he can network with people who like his design.
Networking amongst non-local designers is nonexistent.",Customer Interview,,Aspiring independent fashion designers; Designers lack market visibility and could use a platform that gives them that.
2015-02-02,"In Person Meeting with Jason Crain, Consumer, N/A","This was a paper prototype interview wherein a college-aged consumer, Jason Crain, was asked to use our product in paper form. We're on the correct side of the spectrum in terms of simplicity vs. complexity, but at the moment, it may be just a bit too simple. We need something else to engage the consumer to keep looping through the contests.","PAPER PROTOTYPE: Though he liked the simplicity of our program, he didn't feel like the clicking through shirts alone was sufficiently engaging to keep him in the app. He needs some kind of incentive or additional functionality within the ""game"" to keep him clicking.",Customer Interview,Customer Relationships,Users want a way to see items coming from independent fashion designers without the hassle of having to search for these designers.
2015-02-01,"In Person Meeting with Ramya Nath, Purva Kulkarni, Smitha Soman, Mid Career Professionals, Leo Burnett, Univ of Michigan, IBM","This was a group interview using paper prototype with three friends who does a lot of online shopping. They liked display of apparel in a grid more for websites, and lesser options(1 or 2) for a mobile interface. One person liked to just have 2 and compare within those two. Others didnt have any opinion about it. They said yes/no option seemed to be a bit clunky, a graded rating approach might be better, like a star rating. One person suggested that swiping like Tinder also might be a good idea. They were not very convinced on the payoff they get from doing this rating. They asked if it is a discount from named brands(promo code) and also were concerned why would independent fashion designers list their designs if we promote name brands in our portal.","PAPER PROTOTYPE: The layout of items depends on what medium they are accessing it from. 
A graded rating system is better than a yes/no format
Need a stronger reason to make people rating apparel than named brand incentives",Customer Interview,Value Propositions,Users want a way to see items coming from independent fashion designers without the hassle of having to search for these designers.
2015-02-03,Users want a way to see items coming from independent fashion designers without the hassle of having to search for these designers.,,,Business Model Hypothesis,Value Propositions,
2015-02-03,Brand names are always on the lookout for the next big thing in fashion.,,,Business Model Hypothesis,Value Propositions,
2015-02-03,Designers lack market visibility and could use a platform that gives them that.,,,Business Model Hypothesis,Value Propositions,
2015-02-03,"Fashion Brands looking for talent to join their team(Chanel, Louis Vitton, Vera Wang, Alexander McQueen)",,,Business Model Hypothesis,Customer Segments,
2015-02-03,Discerning fashion consumers looking for independent fashion,,,Business Model Hypothesis,Customer Segments,
2015-02-03,Aspiring independent fashion designers,,,Business Model Hypothesis,Customer Segments,
2015-02-02,"Phone Call with IB Anna, Friends, Baxter",See Key insights,"- Women would not like outfits prefer one piece
- Personal stylist maybe for special occasions but do not feel strongly about having a personal stylist in general
- Do not care about brand names vs independent names. Really just want something that fits body and looks good with other clothing items",Customer Interview,,
2015-02-02,"In Person Meeting with Sanjeet Das, Friend, N/A",Check out Proto.io for quick prototypingWould designers pay to get user feedback data?,"PAPER PROTOTYPE: Likes grid view. It is simple and you do not have to go through x amount of items
Would use it on Web app and Mobile app 
Need to test the differences in views for mobile and web",Customer Interview,Value Propositions,Users want a way to see items coming from independent fashion designers without the hassle of having to search for these designers.
2015-02-01,"Phone Call with Abid Mansoor, Entrepreneur, Apparel buyer/sourcer, Own Company, Walmart, Dubai","Abid worked for Walmart in the ethical sourcing and compliance department and has experience working with Apparel manufacturers in the Middle east, India, Bangladesh etc. He is currently sourcing apparel in bulk from these manufacturers and selling it to retailers in the Middle East and Africa. We thought the manufacturing process is more simplified than what the reality is. This interview helped in understanding the complexities and the possibilities. We will be talking more with local apparel manufacturers to get a deeper insight on how ready-to-wear apparel manufacturing works in US.&nbsp;","Manufacturing apparels internationally is a very complex process and makes sense only once the process involves bulk quantities. There are also logistical issues like ensuring quality of make, sourcing quality materials etc. Finding local manufacturers might be the best option if the designs are unique and low sales volume is expected. Also, focusing on a very specific segment of apparel might be better to launch initially, like casual wear for women, or night wear for kids etc.",Customer Interview,Value Propositions,Designers lack market visibility and could use a platform that gives them that.
2015-01-30,"In Person Meeting with Kendel Woods, Grad Student - Master of Design, Fashion, Body, Garment, The School of the Art Institute of Chicago","Learnt a lot about how a design gets made. Kendel mentioned that this is a long process and takes days or weeks for this to happen. Trust is a big factor in the realtionships. Once a designer finds the right manufacturer, usually they dont divulge the information to a third party.&nbsp;","Most of the design students dont have a clear picture on how to make money using their skills. Most dont have an idea on how to source material and merchandise. Most of the Boutique shops are mostly stylist owned or operated. Designer owned or operated ones are rare. There is an intermediary step between creating designs and creating the end product. This role is usually handled by a tech designer, who creates a tech packet, which is send to the manufacturer.",Customer Interview,Value Propositions,Designers lack market visibility and could use a platform that gives them that.
2015-01-30,"Video Chat with Krystell Barraza, Independent Fashion Designer, Krystell Barraza","It usually takes Krystell less than a week to design clothes, which supports our weekly competition model.","Similar to Elizabeth, Krystell takes photos of her clothes on real people and prefers it that way. Krystell mostly ships by hand since most of her customers are local.",Customer Interview,Customer Relationships,
2015-01-28,"Email with Elizabeth Santoro, Consumer, N/A","She added that 360 views are ideal. Price and accessibility are essential, since she doesn't have a car at college and can't shop as easily.&nbsp;When she shops at the store, she gets the immediate satisfaction of having the product right then, which she prefers to shipping. She prefers name-brands for their reliability, especially when buying online","Elizabeth is usually not browsing when she shops online – she prefers the ""experience"" of doing that in-person. When she shops online, she's looking for a specific item. Also, photographs of designs need to have the designs featured on real people.",Customer Interview,Customer Relationships,
2015-01-27,"In Person Meeting with Sanjeet, Friends, Friends",- See key insights,"- Men would like outfits
- interested in someone telling me the trends
- They liked the game idea but felt it need to be complemented by a website storefront​",Customer Interview,,
2015-01-27,"Phone Call with Clay Greenshaw, Creative Director of Gameday Video, Jacksonville Jaguars","Clay expressed preferring name brand clothes for reliability as well as reputation, and going to stores for a better fit. He said he would not be any more likely to buy local designers, because they may not be influenced by the current trends as much as someone in NY or LA. He buys clothes as an impulse thing, not a big seasonal spree. He thinks the average person could greatly benefit from an easy personal stylist because he sees a lot of people making poor fashion choices.","Clay gets fashion ideas from Instagram where he follows several male models. He prefers to see clothes in the context of being worn by real people candidly, rather than a picture of a shirt on a person with a white background (like a magazine, or online sometimes). He does not have any major issues with this method because he can see the items work in the picture caption.",Customer Interview,,
2015-01-26,"In Person Meeting with Alex Kain, Student, Northwestern University","Alex talked at length about the particular situations when online shopping is better/worse than shopping at a brick & mortar store. Online shopping offers the ability to see current trends and styles, as well as a much wider selection of clothes. She also pointed out that girls often struggle to put together outfits so the option to buy a preset/suggested grouping of clothes would be attractive. A model that we discussed earlier was the trunkclub style purchase. Alex said this model is attractive because it feels more like a gift and because the mystery of what you are going to recieve is exciting. Perhaps we can incorporate this feature by allowing customers to get limited edition pieces from their favorite designers?","For girls who don't generally purchase clothes online, the two situations when they do purchase online are when they really love an item or when fit doesn't matter (scarves, jewelry).",Customer Interview,,
2015-01-26,"Phone Call with Andrew Shapiro, Sales Account Executive, Guidebook","Enforced what we've heard about name brand image not mattering as much as the reliability it provides. Subscribes to GQ and Esquire but doesn't go look there and buy clothes directly from them. If he does see an outfit he likes, he's confident he can put that together himself through other channels. Doesn't seek to cultivate and upkeep an image but he has one implicitly.","He would do online shopping if it were more personalized than it currently is (emphasized fit).
Had a lot of interest in influence/occasion for styles (i.e. southern, wedding, going to bar).
Thought buying local would be cool for developing a relationship with designers.",Customer Interview,,
2015-01-26,"Phone Call with George Elrod, Shopper, Student, DePaul University","George reiterated the power of simplicity and minimalism, something Luke Zhang also mentioned. George also said when he online shops, he's usually browsing moreso than looking for any specific item. For this reason, it might make sense to allow for search, but also to consider how we might make the clothes browsing seamless. Thirdly, he said graphics are important, and he encouraged us to look into graphic design services that allow people to add their own logos or images onto pre-made fabrics by established companies (like American Apparel).",Independent fashion is about owning one-of-a-kind outfits. Allowing consumers to create their own custom outfits makes sense because it suits that one-of-a-kind idea. Nobody else would have the same outfit. We should allow users to create their own library of outfits and provide a notification system to notify designers when one of their pieces was used in a consumer-compiled outfit.,Customer Interview,Customer Relationships,
2015-01-26,"Phone Call with Rachael Hogan, Implementation Manager, Mattersight, Chicago","The smaller boutique shops in the city(like in Lincoln Park, Bucktown) are a lot of times watering holes for high fashion conscious customers. These are mostly window shopping avenues for regular, more price conscious customers.&nbsp;","Even though Rachael goes to the small Boutique stores in the city, and finds a lot of chothes she likes, she finds it too expensive and rarely buys these brands. The biggest factor that keeps her away from buying from small boutiques is the price and the fact can she can never justify the cost to herself.",Customer Interview,Value Propositions,Users want a way to see items coming from independent fashion designers without the hassle of having to search for these designers.
2015-01-26,"Phone Call with Chris Bultena, Student, University of Wisconsin-Madison","We will see with more interviews whether or not the consumers who already have an avenue for finding these non-name brand clothes would be willing to try out a service like ours.Online shopping is preferred when shipping is free, otherwise it's more expensive than going to the store -- maybe our company could provide that","A large reason people buy from name brands rather than independent is that they know they will have what they want because they've had success in the past. Chris looks for a certain style and doesn't care if it's name brand as long as it has the right look.
Fashion design majors may currently be more conservative in their designs because many have the goal of getting their items adopted by larger brands.
He thinks many who would be inclined to find more independent clothing already have avenues through which they do so (blogs, mags).",Customer Interview,,
2015-01-26,"In Person Meeting with Chloe Padula, Ms., Student","She doesn't have a preference to brand names or independent boutiques. Prefers brand names for ""basics"" and boutiques for more unique pieces i.e. accessories, dress, tops.","- Think about user behavior when shopping carts get too expensive, users have a tendency to drop whole cart (might be problematic with outfits)
- Designers might stop selling to independent boutiques after they have a contract with a larger department store (might take away some of our designer customers)
- Logistics ""I don't want something I bought in the summer to come 3 months later. Anything longer than 3 weeks is not feasible""
- Etsy shipping can take forever (see above)",Customer Interview,,
2015-01-26,"Phone Call with Himanshu Kapoor, Consulting Manager, Deloitte","My assumption was that a lot people are moving to shopping online from shopping in the store. But he mentioned that he used to shop online when he was in college, but now he has switched to go to store as he is concerned about the fit. He also mentioned that he might not be interested in new indie designer stuff, as his needs are being met by brands he shop, like Banana Republic. He found the idea of a stylist intriguing, because of the convenience it offers, but did mention that he will only consider it if it is not too expensive. He also mentioned that his frequency of going out and partying has decreased and so his need for keeping his wardrobe updated has reduced. He shops mostly formal wear for work now, and that,s why sticking to a well known brand is fine with him.","Main reason why he shops in stores is because he is worried about fit, as he feels that he might have gained/lost weight and wants to make sure that he can adjust his purchase accordingly.",Customer Interview,Value Propositions,Designers lack market visibility and could use a platform that gives them that.
2015-01-24,"Phone Call with Dylan Storey, Writer, Stitch Magazine","Dylan said Instagram is kind of like Listerine as a marketing strategy – it's a good supplement to serious personal marketing but it can't be the core of the brand. He also reaffirmed our idea that Etsy's too busy and too disorganized. Finally, Dylan said we need to help independent designers market themselves as human beings rather than brands – it's the one big advantage indie designers have over names like Abercrombie and H&M – their humanity.","We should help independent designers keep up on trends. Brands can react to style changes in the market much quicker than independent designers can. Additionally, one big problem with e-commerce and social media sites is their business. We should keep it clean, simple and minimalist.",Customer Interview,Customer Relationships,
